,s1,s2,s3,s4,s5,total,obtained,percentage,grade
8027,97,99,93,98,86,500,473,94.6,A+
8028,89,92,87,87,80,500,435,87.0,A+
8029,88,85,92,84,89,500,438,87.6,A+
8030,98,99,93,97,87,500,474,94.8,A+
8031,90,97,86,80,82,500,435,87.0,A+
8032,85,85,86,96,80,500,432,86.4,A+
8033,85,99,96,90,97,500,467,93.4,A+
8034,94,96,94,86,84,500,454,90.8,A+
8035,98,80,80,98,94,500,450,90.0,A+
8036,85,82,97,99,88,500,451,90.2,A+
8037,99,96,93,97,80,500,465,93.0,A+
8038,84,86,85,83,88,500,426,85.2,A+
8039,92,87,90,95,88,500,452,90.4,A+
8040,87,98,92,86,98,500,461,92.2,A+
8041,99,93,88,99,85,500,464,92.80000000000001,A+
8042,83,92,93,83,98,500,449,89.8,A+
8043,89,95,90,87,99,500,460,92.0,A+
8044,90,80,95,81,82,500,428,85.6,A+
8045,91,85,97,82,99,500,454,90.8,A+
8046,93,93,83,86,83,500,438,87.6,A+
8047,95,99,88,93,88,500,463,92.60000000000001,A+
8048,98,87,86,82,91,500,444,88.8,A+
8049,90,83,83,99,96,500,451,90.2,A+
8050,81,96,88,96,88,500,449,89.8,A+
8051,95,95,95,84,84,500,453,90.60000000000001,A+
8052,91,85,91,86,87,500,440,88.0,A+
8053,95,94,99,87,86,500,461,92.2,A+
8054,92,84,98,91,90,500,455,91.0,A+
8055,83,85,96,86,95,500,445,89.0,A+
8056,92,93,82,91,89,500,447,89.4,A+
8057,97,82,84,87,85,500,435,87.0,A+
8058,81,97,95,88,86,500,447,89.4,A+
8059,80,89,80,90,83,500,422,84.39999999999999,A+
8060,94,92,86,80,84,500,436,87.2,A+
8061,86,99,86,92,96,500,459,91.8,A+
8062,82,84,93,90,83,500,432,86.4,A+
8063,99,93,90,91,94,500,467,93.4,A+
8064,83,97,94,88,89,500,451,90.2,A+
8065,82,95,94,81,85,500,437,87.4,A+
8066,80,90,93,93,94,500,450,90.0,A+
8067,89,83,84,80,87,500,423,84.6,A+
8068,95,89,97,94,89,500,464,92.80000000000001,A+
8069,91,82,97,84,89,500,443,88.6,A+
8070,90,85,91,99,92,500,457,91.4,A+
8071,85,84,86,96,83,500,434,86.8,A+
8072,93,82,99,86,94,500,454,90.8,A+
8073,80,95,85,94,86,500,440,88.0,A+
8074,95,83,84,98,87,500,447,89.4,A+
8075,92,89,84,82,85,500,432,86.4,A+
8076,90,87,80,90,98,500,445,89.0,A+
8077,81,94,98,92,94,500,459,91.8,A+
8078,89,81,98,96,98,500,462,92.4,A+
8079,99,95,92,80,80,500,446,89.2,A+
8080,94,88,83,81,96,500,442,88.4,A+
8081,80,80,81,95,94,500,430,86.0,A+
8082,93,93,86,88,91,500,451,90.2,A+
8083,87,80,89,97,93,500,446,89.2,A+
8084,93,95,94,89,87,500,458,91.60000000000001,A+
8085,80,81,81,96,83,500,421,84.2,A+
8086,82,86,81,86,80,500,415,83.0,A+
8087,89,97,83,81,90,500,440,88.0,A+
8088,82,80,90,94,91,500,437,87.4,A+
8089,85,80,96,91,93,500,445,89.0,A+
8090,84,91,87,97,85,500,444,88.8,A+
8091,94,85,89,94,93,500,455,91.0,A+
8092,92,88,93,98,86,500,457,91.4,A+
8093,86,97,97,89,98,500,467,93.4,A+
8094,88,82,99,86,81,500,436,87.2,A+
8095,90,96,97,80,93,500,456,91.2,A+
8096,84,80,85,92,87,500,428,85.6,A+
8097,87,86,91,95,86,500,445,89.0,A+
8098,89,83,81,96,89,500,438,87.6,A+
8099,96,97,85,82,98,500,458,91.60000000000001,A+
8100,96,95,92,82,85,500,450,90.0,A+
8101,92,91,82,96,84,500,445,89.0,A+
8102,96,90,85,95,95,500,461,92.2,A+
8103,89,84,97,98,80,500,448,89.60000000000001,A+
8104,84,99,90,99,87,500,459,91.8,A+
8105,96,82,89,92,93,500,452,90.4,A+
8106,91,95,97,94,94,500,471,94.19999999999999,A+
8107,84,97,81,81,85,500,428,85.6,A+
8108,98,91,83,85,81,500,438,87.6,A+
8109,85,92,90,82,92,500,441,88.2,A+
8110,92,94,93,97,90,500,466,93.2,A+
8111,96,89,98,97,84,500,464,92.80000000000001,A+
8112,96,87,83,88,84,500,438,87.6,A+
8113,96,99,87,93,85,500,460,92.0,A+
8114,83,89,91,85,88,500,436,87.2,A+
8115,93,84,87,86,88,500,438,87.6,A+
8116,91,96,98,84,80,500,449,89.8,A+
8117,98,94,82,87,90,500,451,90.2,A+
8118,81,93,95,93,85,500,447,89.4,A+
8119,97,90,81,83,96,500,447,89.4,A+
8120,99,80,85,93,95,500,452,90.4,A+
8121,99,85,83,82,95,500,444,88.8,A+
8122,92,85,85,94,97,500,453,90.60000000000001,A+
8123,95,85,94,81,97,500,452,90.4,A+
8124,97,87,99,81,91,500,455,91.0,A+
8125,82,90,87,81,96,500,436,87.2,A+
8126,82,91,89,83,90,500,435,87.0,A+
8127,80,81,84,99,99,500,443,88.6,A+
8128,92,98,94,95,97,500,476,95.19999999999999,A+
8129,88,90,99,92,96,500,465,93.0,A+
8130,95,89,97,81,97,500,459,91.8,A+
8131,82,82,90,92,82,500,428,85.6,A+
8132,98,82,91,91,87,500,449,89.8,A+
8133,85,87,93,93,96,500,454,90.8,A+
8134,94,94,89,96,95,500,468,93.60000000000001,A+
8135,93,92,84,84,96,500,449,89.8,A+
8136,96,89,92,85,92,500,454,90.8,A+
8137,87,81,85,87,87,500,427,85.39999999999999,A+
8138,98,80,99,82,80,500,439,87.8,A+
8139,85,87,85,93,96,500,446,89.2,A+
8140,89,98,95,81,93,500,456,91.2,A+
8141,88,87,99,81,83,500,438,87.6,A+
8142,97,95,81,98,98,500,469,93.8,A+
8143,80,97,85,94,88,500,444,88.8,A+
8144,98,97,84,93,88,500,460,92.0,A+
8145,98,84,91,99,88,500,460,92.0,A+
8146,95,85,82,84,93,500,439,87.8,A+
8147,81,88,89,96,96,500,450,90.0,A+
8148,89,81,84,83,80,500,417,83.39999999999999,A+
8149,98,99,96,85,80,500,458,91.60000000000001,A+
8150,95,85,95,91,89,500,455,91.0,A+
8151,81,90,86,99,89,500,445,89.0,A+
8152,95,86,85,81,95,500,442,88.4,A+
8153,80,98,91,95,99,500,463,92.60000000000001,A+
8154,96,90,92,99,80,500,457,91.4,A+
8155,81,97,94,85,96,500,453,90.60000000000001,A+
8156,85,91,93,92,85,500,446,89.2,A+
8157,96,87,90,81,97,500,451,90.2,A+
8158,91,98,89,97,81,500,456,91.2,A+
8159,94,95,84,91,95,500,459,91.8,A+
8160,92,96,97,84,94,500,463,92.60000000000001,A+
8161,89,99,88,86,95,500,457,91.4,A+
8162,94,92,87,82,85,500,440,88.0,A+
8163,84,97,91,87,92,500,451,90.2,A+
8164,91,98,97,86,98,500,470,94.0,A+
8165,91,85,82,82,92,500,432,86.4,A+
8166,88,87,95,84,99,500,453,90.60000000000001,A+
8167,87,93,91,90,86,500,447,89.4,A+
8168,94,86,86,95,84,500,445,89.0,A+
8169,88,84,95,98,97,500,462,92.4,A+
8170,92,91,84,87,90,500,444,88.8,A+
8171,99,95,95,82,97,500,468,93.60000000000001,A+
8172,94,89,89,82,81,500,435,87.0,A+
8173,81,95,82,92,96,500,446,89.2,A+
8174,99,93,97,80,83,500,452,90.4,A+
8175,99,99,81,83,98,500,460,92.0,A+
8176,97,93,87,94,93,500,464,92.80000000000001,A+
8177,91,91,93,89,92,500,456,91.2,A+
8178,98,88,81,87,81,500,435,87.0,A+
8179,86,99,98,96,80,500,459,91.8,A+
8180,93,86,85,98,86,500,448,89.60000000000001,A+
8181,80,80,92,82,93,500,427,85.39999999999999,A+
8182,98,91,92,90,83,500,454,90.8,A+
8183,84,93,96,87,84,500,444,88.8,A+
8184,82,89,95,96,82,500,444,88.8,A+
8185,95,94,87,96,80,500,452,90.4,A+
8186,82,86,95,81,91,500,435,87.0,A+
8187,92,97,88,99,92,500,468,93.60000000000001,A+
8188,97,95,94,91,87,500,464,92.80000000000001,A+
8189,81,86,89,82,87,500,425,85.0,A+
8190,95,90,89,91,83,500,448,89.60000000000001,A+
8191,85,94,93,92,92,500,456,91.2,A+
8192,85,89,91,92,94,500,451,90.2,A+
8193,80,81,98,84,93,500,436,87.2,A+
8194,97,84,96,82,86,500,445,89.0,A+
8195,81,98,85,96,84,500,444,88.8,A+
8196,82,95,94,99,84,500,454,90.8,A+
8197,90,95,94,93,95,500,467,93.4,A+
8198,96,83,91,98,89,500,457,91.4,A+
8199,80,84,85,87,89,500,425,85.0,A+
8200,84,96,89,95,97,500,461,92.2,A+
8201,81,91,89,94,84,500,439,87.8,A+
8202,97,89,88,98,90,500,462,92.4,A+
8203,86,89,99,98,96,500,468,93.60000000000001,A+
8204,85,91,94,92,93,500,455,91.0,A+
8205,88,97,83,94,97,500,459,91.8,A+
8206,87,88,94,87,87,500,443,88.6,A+
8207,94,94,99,94,91,500,472,94.39999999999999,A+
8208,99,82,85,88,94,500,448,89.60000000000001,A+
8209,83,81,88,99,86,500,437,87.4,A+
8210,84,83,97,87,97,500,448,89.60000000000001,A+
8211,81,86,96,89,96,500,448,89.60000000000001,A+
8212,94,86,96,95,81,500,452,90.4,A+
8213,84,91,94,85,98,500,452,90.4,A+
8214,87,82,81,88,95,500,433,86.6,A+
8215,98,89,94,94,88,500,463,92.60000000000001,A+
8216,91,88,80,84,87,500,430,86.0,A+
8217,91,86,80,93,81,500,431,86.2,A+
8218,85,97,88,86,95,500,451,90.2,A+
8219,81,90,96,80,81,500,428,85.6,A+
8220,84,81,94,98,80,500,437,87.4,A+
8221,92,80,99,95,81,500,447,89.4,A+
8222,97,91,92,94,97,500,471,94.19999999999999,A+
8223,80,85,91,84,97,500,437,87.4,A+
8224,99,96,88,81,98,500,462,92.4,A+
8225,82,91,84,96,95,500,448,89.60000000000001,A+
8226,85,86,95,95,99,500,460,92.0,A+
8227,89,80,87,92,90,500,438,87.6,A+
8228,86,89,98,92,91,500,456,91.2,A+
8229,95,87,86,99,91,500,458,91.60000000000001,A+
8230,95,85,99,85,86,500,450,90.0,A+
8231,95,92,97,82,90,500,456,91.2,A+
8232,82,93,97,84,82,500,438,87.6,A+
8233,83,83,96,91,89,500,442,88.4,A+
8234,95,82,84,83,97,500,441,88.2,A+
8235,83,91,98,85,96,500,453,90.60000000000001,A+
8236,84,83,95,91,88,500,441,88.2,A+
8237,91,83,97,89,96,500,456,91.2,A+
8238,83,94,82,81,98,500,438,87.6,A+
8239,81,80,85,86,90,500,422,84.39999999999999,A+
8240,94,86,84,88,93,500,445,89.0,A+
8241,92,98,99,90,81,500,460,92.0,A+
8242,92,80,82,94,96,500,444,88.8,A+
8243,97,82,90,89,95,500,453,90.60000000000001,A+
8244,96,93,97,97,96,500,479,95.8,A+
8245,83,89,94,85,89,500,440,88.0,A+
8246,98,86,99,92,93,500,468,93.60000000000001,A+
8247,88,93,85,86,81,500,433,86.6,A+
8248,92,81,84,86,90,500,433,86.6,A+
8249,81,99,84,82,82,500,428,85.6,A+
8250,91,80,98,98,92,500,459,91.8,A+
8251,94,97,85,87,81,500,444,88.8,A+
8252,99,93,96,89,90,500,467,93.4,A+
8253,94,83,84,84,89,500,434,86.8,A+
8254,84,99,85,99,87,500,454,90.8,A+
8255,94,87,95,99,83,500,458,91.60000000000001,A+
8256,86,92,95,88,87,500,448,89.60000000000001,A+
8257,86,96,98,86,98,500,464,92.80000000000001,A+
8258,93,96,88,85,92,500,454,90.8,A+
8259,98,93,97,93,82,500,463,92.60000000000001,A+
8260,98,98,94,99,87,500,476,95.19999999999999,A+
8261,83,88,97,92,99,500,459,91.8,A+
8262,85,94,85,89,84,500,437,87.4,A+
8263,87,86,93,80,98,500,444,88.8,A+
8264,85,80,82,85,92,500,424,84.8,A+
8265,97,85,93,96,97,500,468,93.60000000000001,A+
8266,82,92,84,90,84,500,432,86.4,A+
8267,80,88,97,95,98,500,458,91.60000000000001,A+
8268,91,86,99,85,82,500,443,88.6,A+
8269,91,93,97,95,98,500,474,94.8,A+
8270,96,99,93,85,84,500,457,91.4,A+
8271,99,88,98,81,94,500,460,92.0,A+
8272,85,93,81,84,89,500,432,86.4,A+
8273,84,84,82,91,91,500,432,86.4,A+
8274,95,84,80,86,97,500,442,88.4,A+
8275,98,84,95,92,86,500,455,91.0,A+
8276,99,99,90,87,90,500,465,93.0,A+
8277,84,87,85,89,90,500,435,87.0,A+
8278,85,88,93,80,91,500,437,87.4,A+
8279,95,97,81,95,94,500,462,92.4,A+
8280,97,91,89,95,81,500,453,90.60000000000001,A+
8281,86,92,85,99,90,500,452,90.4,A+
8282,89,91,85,95,82,500,442,88.4,A+
8283,86,87,92,90,82,500,437,87.4,A+
8284,86,80,90,84,98,500,438,87.6,A+
8285,83,82,96,97,97,500,455,91.0,A+
8286,85,90,98,99,81,500,453,90.60000000000001,A+
8287,80,82,81,91,91,500,425,85.0,A+
8288,85,97,85,96,83,500,446,89.2,A+
8289,99,95,91,90,85,500,460,92.0,A+
8290,97,97,96,89,85,500,464,92.80000000000001,A+
8291,86,80,87,85,88,500,426,85.2,A+
8292,83,93,89,90,82,500,437,87.4,A+
8293,85,88,84,82,93,500,432,86.4,A+
8294,90,82,88,86,83,500,429,85.8,A+
8295,88,96,90,88,92,500,454,90.8,A+
8296,86,99,98,89,93,500,465,93.0,A+
8297,98,85,87,92,91,500,453,90.60000000000001,A+
8298,90,81,94,94,97,500,456,91.2,A+
8299,99,85,86,80,83,500,433,86.6,A+
8300,92,84,84,93,94,500,447,89.4,A+
8301,98,95,90,90,95,500,468,93.60000000000001,A+
8302,83,96,95,82,87,500,443,88.6,A+
8303,84,85,98,89,84,500,440,88.0,A+
8304,84,92,82,93,95,500,446,89.2,A+
8305,88,93,82,94,96,500,453,90.60000000000001,A+
8306,85,85,87,83,88,500,428,85.6,A+
8307,98,80,97,86,96,500,457,91.4,A+
8308,92,87,96,88,98,500,461,92.2,A+
8309,96,87,98,98,91,500,470,94.0,A+
8310,96,89,80,94,90,500,449,89.8,A+
8311,88,86,99,83,93,500,449,89.8,A+
8312,87,87,86,81,97,500,438,87.6,A+
8313,88,98,93,85,84,500,448,89.60000000000001,A+
8314,86,81,83,96,80,500,426,85.2,A+
8315,81,85,91,92,97,500,446,89.2,A+
8316,85,85,99,86,99,500,454,90.8,A+
8317,98,81,81,94,81,500,435,87.0,A+
8318,89,80,80,92,92,500,433,86.6,A+
8319,94,88,89,92,88,500,451,90.2,A+
8320,89,84,92,97,96,500,458,91.60000000000001,A+
8321,95,98,94,97,99,500,483,96.6,A+
8322,90,98,96,84,86,500,454,90.8,A+
8323,91,96,99,92,98,500,476,95.19999999999999,A+
8324,92,92,97,94,80,500,455,91.0,A+
8325,82,82,96,93,89,500,442,88.4,A+
8326,89,84,94,90,81,500,438,87.6,A+
8327,95,83,91,99,85,500,453,90.60000000000001,A+
8328,91,99,85,82,95,500,452,90.4,A+
8329,87,91,81,92,88,500,439,87.8,A+
8330,80,95,81,95,82,500,433,86.6,A+
8331,92,91,89,84,96,500,452,90.4,A+
8332,95,95,90,84,93,500,457,91.4,A+
8333,86,86,97,88,95,500,452,90.4,A+
8334,87,80,80,93,93,500,433,86.6,A+
8335,90,92,89,96,80,500,447,89.4,A+
8336,84,80,87,89,81,500,421,84.2,A+
8337,96,87,87,86,94,500,450,90.0,A+
8338,84,85,87,85,92,500,433,86.6,A+
8339,80,96,84,92,97,500,449,89.8,A+
8340,95,82,83,82,80,500,422,84.39999999999999,A+
8341,80,92,94,80,91,500,437,87.4,A+
8342,80,87,92,80,92,500,431,86.2,A+
8343,84,95,87,96,88,500,450,90.0,A+
8344,82,86,80,90,97,500,435,87.0,A+
8345,98,87,97,88,95,500,465,93.0,A+
8346,84,90,87,83,82,500,426,85.2,A+
8347,81,94,94,86,92,500,447,89.4,A+
8348,95,82,81,90,91,500,439,87.8,A+
8349,88,87,91,81,94,500,441,88.2,A+
8350,97,90,80,92,91,500,450,90.0,A+
8351,95,87,98,96,91,500,467,93.4,A+
8352,88,92,83,99,96,500,458,91.60000000000001,A+
8353,81,82,82,98,97,500,440,88.0,A+
8354,83,83,84,84,84,500,418,83.6,A+
8355,89,90,93,99,80,500,451,90.2,A+
8356,96,83,83,90,84,500,436,87.2,A+
8357,80,83,92,81,81,500,417,83.39999999999999,A+
8358,86,83,85,96,96,500,446,89.2,A+
8359,93,91,84,90,81,500,439,87.8,A+
8360,98,92,95,89,93,500,467,93.4,A+
8361,86,80,98,92,89,500,445,89.0,A+
8362,96,96,80,81,99,500,452,90.4,A+
8363,91,85,99,85,92,500,452,90.4,A+
8364,85,83,95,91,85,500,439,87.8,A+
8365,87,90,92,99,84,500,452,90.4,A+
8366,95,81,99,96,92,500,463,92.60000000000001,A+
8367,97,81,99,86,98,500,461,92.2,A+
8368,87,87,85,85,94,500,438,87.6,A+
8369,99,83,90,81,82,500,435,87.0,A+
8370,93,99,81,81,87,500,441,88.2,A+
8371,90,82,81,83,98,500,434,86.8,A+
8372,84,91,99,81,83,500,438,87.6,A+
8373,81,80,97,83,83,500,424,84.8,A+
8374,87,94,89,86,98,500,454,90.8,A+
8375,96,97,83,83,80,500,439,87.8,A+
8376,88,85,80,94,90,500,437,87.4,A+
8377,87,83,89,93,80,500,432,86.4,A+
8378,98,92,99,99,98,500,486,97.2,A+
8379,87,91,93,93,86,500,450,90.0,A+
8380,93,98,86,85,96,500,458,91.60000000000001,A+
8381,92,89,91,93,80,500,445,89.0,A+
8382,80,80,89,93,97,500,439,87.8,A+
8383,95,97,91,95,86,500,464,92.80000000000001,A+
8384,96,97,97,89,82,500,461,92.2,A+
8385,94,89,80,85,93,500,441,88.2,A+
8386,81,84,99,85,90,500,439,87.8,A+
8387,98,92,98,86,82,500,456,91.2,A+
8388,95,81,86,98,85,500,445,89.0,A+
8389,90,91,96,99,85,500,461,92.2,A+
8390,85,81,91,86,81,500,424,84.8,A+
8391,82,80,86,89,87,500,424,84.8,A+
8392,91,94,93,92,86,500,456,91.2,A+
8393,90,83,90,90,81,500,434,86.8,A+
8394,81,89,91,89,94,500,444,88.8,A+
8395,83,80,83,81,85,500,412,82.39999999999999,A+
8396,90,89,88,90,96,500,453,90.60000000000001,A+
8397,98,83,95,95,89,500,460,92.0,A+
8398,80,81,82,87,82,500,412,82.39999999999999,A+
8399,97,88,81,90,96,500,452,90.4,A+
8400,98,93,83,92,98,500,464,92.80000000000001,A+
8401,92,86,98,90,97,500,463,92.60000000000001,A+
8402,90,86,99,98,96,500,469,93.8,A+
8403,89,86,80,82,82,500,419,83.8,A+
8404,95,85,90,81,85,500,436,87.2,A+
8405,82,95,81,93,90,500,441,88.2,A+
8406,86,89,95,83,90,500,443,88.6,A+
8407,94,92,85,94,80,500,445,89.0,A+
8408,99,97,91,92,80,500,459,91.8,A+
8409,81,90,93,84,88,500,436,87.2,A+
8410,81,96,90,89,92,500,448,89.60000000000001,A+
8411,94,89,88,82,86,500,439,87.8,A+
8412,95,99,99,99,89,500,481,96.2,A+
8413,93,86,95,96,89,500,459,91.8,A+
8414,90,92,81,88,82,500,433,86.6,A+
8415,95,89,81,99,85,500,449,89.8,A+
8416,98,86,87,86,82,500,439,87.8,A+
8417,97,98,82,85,81,500,443,88.6,A+
8418,89,93,98,83,84,500,447,89.4,A+
8419,84,90,85,97,89,500,445,89.0,A+
8420,84,98,80,92,93,500,447,89.4,A+
8421,84,88,86,94,83,500,435,87.0,A+
8422,92,95,86,84,90,500,447,89.4,A+
8423,86,82,85,82,95,500,430,86.0,A+
8424,80,84,84,82,94,500,424,84.8,A+
8425,82,96,93,86,92,500,449,89.8,A+
8426,95,95,81,87,88,500,446,89.2,A+
8427,86,99,80,91,90,500,446,89.2,A+
8428,97,86,81,85,80,500,429,85.8,A+
8429,83,81,89,93,91,500,437,87.4,A+
8430,91,83,90,85,96,500,445,89.0,A+
8431,85,92,81,84,87,500,429,85.8,A+
8432,84,89,99,90,91,500,453,90.60000000000001,A+
8433,93,85,90,93,95,500,456,91.2,A+
8434,83,93,88,85,93,500,442,88.4,A+
8435,85,91,95,91,91,500,453,90.60000000000001,A+
8436,84,80,99,82,92,500,437,87.4,A+
8437,96,99,82,96,83,500,456,91.2,A+
8438,92,94,95,92,97,500,470,94.0,A+
8439,85,94,95,98,99,500,471,94.19999999999999,A+
8440,92,90,98,96,97,500,473,94.6,A+
8441,95,92,84,99,95,500,465,93.0,A+
8442,99,81,83,95,84,500,442,88.4,A+
8443,92,95,92,82,99,500,460,92.0,A+
8444,98,97,97,84,91,500,467,93.4,A+
8445,84,93,81,87,80,500,425,85.0,A+
8446,92,83,99,81,85,500,440,88.0,A+
8447,80,90,86,85,89,500,430,86.0,A+
8448,80,96,91,84,90,500,441,88.2,A+
8449,89,90,90,82,93,500,444,88.8,A+
8450,91,96,81,95,83,500,446,89.2,A+
8451,87,99,86,93,81,500,446,89.2,A+
8452,80,81,84,81,83,500,409,81.8,A+
8453,84,82,98,88,87,500,439,87.8,A+
8454,96,83,90,82,86,500,437,87.4,A+
8455,95,82,87,93,85,500,442,88.4,A+
8456,91,97,86,98,85,500,457,91.4,A+
8457,93,98,95,99,91,500,476,95.19999999999999,A+
8458,83,91,89,91,81,500,435,87.0,A+
8459,89,93,87,82,94,500,445,89.0,A+
8460,81,82,97,84,97,500,441,88.2,A+
8461,93,89,80,80,97,500,439,87.8,A+
8462,89,82,81,82,97,500,431,86.2,A+
8463,83,88,92,83,86,500,432,86.4,A+
8464,81,89,94,89,89,500,442,88.4,A+
8465,83,88,85,82,89,500,427,85.39999999999999,A+
8466,86,81,94,97,90,500,448,89.60000000000001,A+
8467,96,87,80,83,97,500,443,88.6,A+
8468,90,89,80,90,98,500,447,89.4,A+
8469,82,83,89,98,84,500,436,87.2,A+
8470,93,92,93,91,85,500,454,90.8,A+
8471,96,86,88,85,86,500,441,88.2,A+
8472,86,84,95,83,96,500,444,88.8,A+
8473,93,96,90,96,90,500,465,93.0,A+
8474,93,85,83,83,93,500,437,87.4,A+
8475,93,80,87,96,84,500,440,88.0,A+
8476,91,99,99,83,80,500,452,90.4,A+
8477,95,99,86,81,85,500,446,89.2,A+
8478,92,85,89,91,81,500,438,87.6,A+
8479,93,87,99,86,98,500,463,92.60000000000001,A+
8480,81,91,80,92,86,500,430,86.0,A+
8481,83,90,83,83,84,500,423,84.6,A+
8482,86,84,98,99,91,500,458,91.60000000000001,A+
8483,93,88,88,81,99,500,449,89.8,A+
8484,90,87,91,80,86,500,434,86.8,A+
8485,80,94,86,88,98,500,446,89.2,A+
8486,98,95,88,96,91,500,468,93.60000000000001,A+
8487,89,84,89,93,96,500,451,90.2,A+
8488,82,90,95,84,87,500,438,87.6,A+
8489,84,86,90,81,91,500,432,86.4,A+
8490,94,93,97,99,92,500,475,95.0,A+
8491,89,97,86,92,99,500,463,92.60000000000001,A+
8492,99,99,97,94,83,500,472,94.39999999999999,A+
8493,95,84,99,87,93,500,458,91.60000000000001,A+
8494,94,89,84,90,90,500,447,89.4,A+
8495,90,94,91,99,86,500,460,92.0,A+
8496,92,97,81,90,92,500,452,90.4,A+
8497,80,84,80,94,84,500,422,84.39999999999999,A+
8498,88,81,93,96,91,500,449,89.8,A+
8499,88,81,89,80,80,500,418,83.6,A+
8500,88,84,90,86,95,500,443,88.6,A+
8501,91,80,99,97,91,500,458,91.60000000000001,A+
8502,98,97,98,82,81,500,456,91.2,A+
8503,83,93,99,94,92,500,461,92.2,A+
8504,90,93,83,83,87,500,436,87.2,A+
8505,93,80,92,89,99,500,453,90.60000000000001,A+
8506,92,89,92,86,83,500,442,88.4,A+
8507,80,96,99,90,97,500,462,92.4,A+
8508,97,80,81,95,94,500,447,89.4,A+
8509,84,97,92,91,96,500,460,92.0,A+
8510,99,91,84,80,95,500,449,89.8,A+
8511,96,97,87,91,83,500,454,90.8,A+
8512,99,85,89,89,95,500,457,91.4,A+
8513,83,98,82,89,87,500,439,87.8,A+
8514,89,87,91,81,81,500,429,85.8,A+
8515,96,89,97,80,94,500,456,91.2,A+
8516,86,93,92,82,80,500,433,86.6,A+
8517,94,83,82,99,92,500,450,90.0,A+
8518,87,93,95,87,88,500,450,90.0,A+
8519,90,83,98,81,96,500,448,89.60000000000001,A+
8520,99,81,97,80,85,500,442,88.4,A+
8521,80,80,83,94,91,500,428,85.6,A+
8522,83,89,91,92,97,500,452,90.4,A+
8523,88,99,97,88,89,500,461,92.2,A+
8524,91,96,95,94,81,500,457,91.4,A+
8525,97,94,92,94,93,500,470,94.0,A+
8526,83,99,94,90,82,500,448,89.60000000000001,A+
8527,85,81,94,90,95,500,445,89.0,A+
8528,86,82,87,80,87,500,422,84.39999999999999,A+
8529,96,99,82,86,82,500,445,89.0,A+
8530,89,97,86,98,82,500,452,90.4,A+
8531,96,83,97,91,84,500,451,90.2,A+
8532,92,98,85,97,99,500,471,94.19999999999999,A+
8533,82,89,80,93,92,500,436,87.2,A+
8534,93,95,97,99,87,500,471,94.19999999999999,A+
8535,86,94,88,89,86,500,443,88.6,A+
8536,99,99,99,94,99,500,490,98.0,A+
8537,90,88,89,85,82,500,434,86.8,A+
8538,81,97,92,86,93,500,449,89.8,A+
8539,80,86,93,92,96,500,447,89.4,A+
8540,91,85,92,91,82,500,441,88.2,A+
8541,88,90,88,84,96,500,446,89.2,A+
8542,98,94,97,89,94,500,472,94.39999999999999,A+
8543,88,89,89,91,98,500,455,91.0,A+
8544,90,89,92,91,88,500,450,90.0,A+
8545,84,84,90,92,85,500,435,87.0,A+
8546,80,96,93,90,93,500,452,90.4,A+
8547,90,97,99,99,84,500,469,93.8,A+
8548,89,80,82,86,94,500,431,86.2,A+
8549,94,86,98,88,96,500,462,92.4,A+
8550,93,88,98,99,88,500,466,93.2,A+
8551,92,81,80,87,81,500,421,84.2,A+
8552,80,90,96,85,95,500,446,89.2,A+
8553,99,82,89,83,91,500,444,88.8,A+
8554,85,86,94,91,82,500,438,87.6,A+
8555,86,98,89,80,93,500,446,89.2,A+
8556,92,98,92,94,81,500,457,91.4,A+
8557,94,85,91,89,97,500,456,91.2,A+
8558,89,92,86,83,88,500,438,87.6,A+
8559,85,89,84,84,89,500,431,86.2,A+
8560,81,85,86,87,80,500,419,83.8,A+
8561,85,92,85,98,83,500,443,88.6,A+
8562,89,95,94,96,85,500,459,91.8,A+
8563,82,82,80,90,81,500,415,83.0,A+
8564,92,86,91,91,96,500,456,91.2,A+
8565,99,80,93,97,82,500,451,90.2,A+
8566,87,85,98,83,83,500,436,87.2,A+
8567,88,91,90,87,81,500,437,87.4,A+
8568,87,85,85,91,99,500,447,89.4,A+
8569,80,80,81,89,87,500,417,83.39999999999999,A+
8570,99,87,98,95,80,500,459,91.8,A+
8571,89,92,95,90,83,500,449,89.8,A+
8572,82,83,80,85,88,500,418,83.6,A+
8573,90,87,91,97,89,500,454,90.8,A+
8574,99,90,99,86,89,500,463,92.60000000000001,A+
8575,89,88,95,87,94,500,453,90.60000000000001,A+
8576,94,85,80,81,96,500,436,87.2,A+
8577,80,82,87,87,87,500,423,84.6,A+
8578,99,81,97,86,82,500,445,89.0,A+
8579,81,81,82,97,84,500,425,85.0,A+
8580,83,93,91,91,95,500,453,90.60000000000001,A+
8581,85,81,92,93,80,500,431,86.2,A+
8582,92,99,95,92,86,500,464,92.80000000000001,A+
8583,94,93,94,84,84,500,449,89.8,A+
8584,81,86,93,85,84,500,429,85.8,A+
8585,95,80,93,81,84,500,433,86.6,A+
8586,98,93,83,80,81,500,435,87.0,A+
8587,96,82,86,90,81,500,435,87.0,A+
8588,84,83,93,94,81,500,435,87.0,A+
8589,90,88,94,82,88,500,442,88.4,A+
8590,91,84,95,95,82,500,447,89.4,A+
8591,96,84,95,86,94,500,455,91.0,A+
8592,93,87,82,90,99,500,451,90.2,A+
